date,region,device_type,product_category,traffic,conversion_rate,orders,avg_order_value,revenue,marketing_spend
2024-01-01,North,desktop,Electronics,590,0.0382,22,162.41,3573.12,734.03
2024-01-01,North,desktop,Clothing,568,0.04,22,85.11,1872.31,1562.11
2024-01-01,North,desktop,Home,628,0.0327,20,70.34,1406.85,956.36
2024-01-01,North,desktop,Sports,601,0.0391,23,59.76,1374.51,709.24
2024-01-01,North,mobile,Electronics,874,0.036,31,130.94,4059.02,799.51
2024-01-01,North,mobile,Clothing,901,0.0333,30,69.85,2095.37,755.79
2024-01-01,North,mobile,Home,876,0.0272,23,93.52,2151.02,683.06
2024-01-01,North,mobile,Sports,900,0.0288,25,78.89,1972.34,1493.78
2024-01-01,North,tablet,Electronics,175,0.0284,4,138.54,554.17,1954.38
2024-01-01,North,tablet,Clothing,191,0.033,6,59.17,355.0,907.02
2024-01-01,North,tablet,Home,188,0.0367,6,57.37,344.22,711.39
2024-01-01,North,tablet,Sports,187,0.0379,7,83.88,587.14,1593.51
2024-01-01,South,desktop,Electronics,519,0.0308,15,129.43,1941.51,1794.66
2024-01-01,South,desktop,Clothing,508,0.0375,19,70.9,1347.03,987.77
2024-01-01,South,desktop,Home,515,0.0346,17,85.04,1445.6,679.39
2024-01-01,South,desktop,Sports,514,0.0425,21,78.38,1646.02,1240.69
2024-01-01,South,mobile,Electronics,751,0.0301,22,129.62,2851.59,971.53
2024-01-01,South,mobile,Clothing,750,0.0302,22,60.05,1321.09,1633.33
2024-01-01,South,mobile,Home,721,0.0263,18,69.98,1259.68,1894.55
2024-01-01,South,mobile,Sports,783,0.0308,24,78.15,1875.48,779.86
2024-01-01,South,tablet,Electronics,159,0.0315,5,129.1,645.51,841.9
2024-01-01,South,tablet,Clothing,148,0.0239,3,78.46,235.37,833.16
2024-01-01,South,tablet,Home,140,0.0342,4,79.04,316.16,1278.19
2024-01-01,South,tablet,Sports,153,0.0349,5,58.26,291.32,951.32
2024-01-01,East,desktop,Electronics,485,0.0353,17,179.34,3048.75,577.22
2024-01-01,East,desktop,Clothing,485,0.0353,17,70.79,1203.35,1234.18
